STT,Tên tác giả,Đường link của tác giả,Ngày tháng năm sinh,Câu nói nổi tiếng của tác giả,Tuổi
39,Jorge Luis Borges,http://quotes.toscrape.com//author/Jorge-Luis-Borges,"August 24, 1899",“I have always imagined that Paradise will be a kind of library.”,125
40,George Eliot,http://quotes.toscrape.com//author/George-Eliot,"November 22, 1819",“It is never too late to be what you might have been.”,205
41,George R.R. Martin,http://quotes.toscrape.com//author/George-R-R-Martin,"September 20, 1948","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",76
42,C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,"November 29, 1898",“You can never get a cup of tea large enough or a book long enough to suit me.”,126
43,Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,"June 01, 1926",“You believe lies so you eventually learn to trust no one but yourself.”,98
44,Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,"June 01, 1926","“If you can make a woman laugh, you can make her do anything.”",98
45,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879","“Life is like riding a bicycle. To keep your balance, you must keep moving.”",145
46,Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,"June 01, 1926",“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,98
47,Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,"June 01, 1926","“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",98
48,Martin Luther King Jr.,http://quotes.toscrape.com//author/Martin-Luther-King-Jr,"January 15, 1929",“Only in the darkness can you see the stars.”,95
49,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“It matters not what someone is born, but what they grow to be.”",59
50,James Baldwin,http://quotes.toscrape.com//author/James-Baldwin,"August 02, 1924","“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",100
51,Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,"December 16, 1775","“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",249
52,Eleanor Roosevelt,http://quotes.toscrape.com//author/Eleanor-Roosevelt,"October 11, 1884",“Do one thing every day that scares you.”,140
53,Marilyn Monroe,http://quotes.toscrape.com//author/Marilyn-Monroe,"June 01, 1926","“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",98
54,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879","“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",145
55,Haruki Murakami,http://quotes.toscrape.com//author/Haruki-Murakami,"January 12, 1949","“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",75
56,Alexandre Dumas fils,http://quotes.toscrape.com//author/Alexandre-Dumas-fils,"July 27, 1824",“The difference between genius and stupidity is: genius has its limits.”,200
57,Stephenie Meyer,http://quotes.toscrape.com//author/Stephenie-Meyer,"December 24, 1973","“He's like a drug for you, Bella.”",51
58,Ernest Hemingway,http://quotes.toscrape.com//author/Ernest-Hemingway,"July 21, 1899",“There is no friend as loyal as a book.”,125
59,Helen Keller,http://quotes.toscrape.com//author/Helen-Keller,"June 27, 1880","“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",144
60,George Bernard Shaw,http://quotes.toscrape.com//author/George-Bernard-Shaw,"July 26, 1856",“Life isn't about finding yourself. Life is about creating yourself.”,168
61,Charles Bukowski,http://quotes.toscrape.com//author/Charles-Bukowski,"August 16, 1920","“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",104
62,Suzanne Collins,http://quotes.toscrape.com//author/Suzanne-Collins,"August 11, 1962",“You don’t forget the face of the person who was your last hope.”,62
63,Suzanne Collins,http://quotes.toscrape.com//author/Suzanne-Collins,"August 11, 1962","“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",62
64,C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,"November 29, 1898","“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",126
65,J.R.R. Tolkien,http://quotes.toscrape.com//author/J-R-R-Tolkien,"January 03, 1892",“Not all those who wander are lost.”,132
66,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",59
67,Ernest Hemingway,http://quotes.toscrape.com//author/Ernest-Hemingway,"July 21, 1899",“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,125
68,Ralph Waldo Emerson,http://quotes.toscrape.com//author/Ralph-Waldo-Emerson,"May 25, 1803",“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,221
69,Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,"November 30, 1835",“I have never let my schooling interfere with my education.”,189
70,Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904",“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,120
71,Alfred Tennyson,http://quotes.toscrape.com//author/Alfred-Tennyson,"August 06, 1809",“If I had a flower for every time I thought of you...I could walk through my garden forever.”,215
72,Charles Bukowski,http://quotes.toscrape.com//author/Charles-Bukowski,"August 16, 1920",“Some people never go crazy. What truly horrible lives they must lead.”,104
73,Terry Pratchett,http://quotes.toscrape.com//author/Terry-Pratchett,"April 28, 1948","“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",76
74,Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",120
75,J.D. Salinger,http://quotes.toscrape.com//author/J-D-Salinger,"January 01, 1919","“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",105
76,George Carlin,http://quotes.toscrape.com//author/George-Carlin,"May 12, 1937",“The reason I talk to myself is because I’m the only one whose answers I accept.”,87
77,John Lennon,http://quotes.toscrape.com//author/John-Lennon,"October 09, 1940","“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",84
78,W.C. Fields,http://quotes.toscrape.com//author/W-C-Fields,"January 29, 1880",“I am free of all prejudice. I hate everyone equally. ”,144
79,Ayn Rand,http://quotes.toscrape.com//author/Ayn-Rand,"February 02, 1905",“The question isn't who is going to let me; it's who is going to stop me.”,119
80,Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,"November 30, 1835",“′Classic′ - a book which people praise and don't read.”,189
81,Albert Einstein,http://quotes.toscrape.com//author/Albert-Einstein,"March 14, 1879",“Anyone who has never made a mistake has never tried anything new.”,145
82,Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,"December 16, 1775","“A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”",249
83,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”",59
84,Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,"December 16, 1775","“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",249
85,Jane Austen,http://quotes.toscrape.com//author/Jane-Austen,"December 16, 1775","“There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”",249
86,C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,"November 29, 1898",“Some day you will be old enough to start reading fairy tales again.”,126
87,C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,"November 29, 1898",“We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.”,126
88,Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,"November 30, 1835",“The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”,189
89,Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,"November 30, 1835",“A lie can travel half way around the world while the truth is putting on its shoes.”,189
90,C.S. Lewis,http://quotes.toscrape.com//author/C-S-Lewis,"November 29, 1898","“I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”",126
91,J.K. Rowling,http://quotes.toscrape.com//author/J-K-Rowling,"July 31, 1965","“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",59
92,Jimi Hendrix,http://quotes.toscrape.com//author/Jimi-Hendrix,"November 27, 1942","“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",82
93,J.M. Barrie,http://quotes.toscrape.com//author/J-M-Barrie,"May 09, 1860",“To die will be an awfully big adventure.”,164
94,E.E. Cummings,http://quotes.toscrape.com//author/E-E-Cummings,"October 14, 1894",“It takes courage to grow up and become who you really are.”,130
95,Khaled Hosseini,http://quotes.toscrape.com//author/Khaled-Hosseini,"March 04, 1965",“But better to get hurt by the truth than comforted with a lie.”,59
96,Harper Lee,http://quotes.toscrape.com//author/Harper-Lee,"April 28, 1926",“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,98
97,Madeleine L'Engle,http://quotes.toscrape.com//author/Madeleine-LEngle,"November 29, 1918","“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",106
98,Mark Twain,http://quotes.toscrape.com//author/Mark-Twain,"November 30, 1835",“Never tell the truth to people who are not worthy of it.”,189
99,Dr. Seuss,http://quotes.toscrape.com//author/Dr-Seuss,"March 02, 1904","“A person's a person, no matter how small.”",120
100,George R.R. Martin,http://quotes.toscrape.com//author/George-R-R-Martin,"September 20, 1948","“... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”",76
